UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power_Consumption_kWh,Machine_Load_Percent,Energy_Cost_INR,Carbon_Emission_kgCO2,Production_Output_Units,Estimated_Downtime_Hours,Estimated_Loss_INR
2520,L49699,L,298.8,308.6,1631,32.4,38,0,0,0,0,0,0,12.97,35.0,103.76,10.64,90,0.0,0
2521,L49700,L,298.8,308.6,1535,41.2,40,0,0,0,0,0,0,13.34,52.2,106.72,10.94,82,0.0,0
2522,L49701,L,298.8,308.6,1584,34.4,42,0,0,0,0,0,0,12.84,57.0,102.72,10.53,86,0.0,0
2523,M17382,M,298.8,308.7,1543,38.2,44,0,0,0,0,0,0,13.0,49.1,104.0,10.66,83,0.0,0
2524,L49703,L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,13.39,41.6,107.12,10.98,91,0.0,0
2525,M17384,M,298.8,308.7,1446,45.5,49,0,0,0,0,0,0,13.16,61.9,105.28,10.79,74,0.0,0
2526,M17385,M,298.8,308.6,1598,35.1,52,0,0,0,0,0,0,13.05,45.4,104.4,10.7,88,0.0,0
2527,L49706,L,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,12.19,45.0,97.52,10.0,79,0.0,0
2528,L49707,L,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,13.92,67.6,111.36,11.41,75,0.0,0
2529,L49708,L,298.8,308.6,1730,25.9,59,0,0,0,0,0,0,12.94,40.6,103.52,10.61,99,0.0,0
2530,M17389,M,298.8,308.6,1571,33.7,61,0,0,0,0,0,0,12.63,35.4,101.04,10.36,85,0.0,0
2531,L49710,L,298.9,308.7,1438,51.7,64,0,0,0,0,0,0,13.94,68.2,111.52,11.43,74,0.0,0
2532,M17391,M,298.8,308.5,1510,38.7,66,0,0,0,0,0,0,12.78,43.3,102.24,10.48,80,0.0,0
2533,L49712,L,298.9,308.7,1389,44.9,69,0,0,0,0,0,0,12.58,59.2,100.64,10.32,69,0.0,0
2534,L49713,L,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,11.9,36.3,95.2,9.76,78,0.0,0
2535,L49714,L,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,13.03,29.2,104.24,10.68,99,0.0,0
2536,L49715,L,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,12.61,46.1,100.88,10.34,79,0.0,0
2537,L49716,L,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,12.87,73.7,102.96,10.55,60,0.0,0
2538,H31951,H,298.9,308.7,1353,48.1,79,0,0,0,0,0,0,12.7,65.4,101.6,10.41,66,0.0,0
2539,L49718,L,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,13.64,57.4,109.12,11.18,73,0.0,0
2540,L49719,L,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,12.4,52.9,99.2,10.17,71,0.0,0
2541,L49720,L,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,12.66,43.8,101.28,10.38,79,0.0,0
2542,H31955,H,299.1,308.8,1553,32.6,90,0,0,0,0,0,0,12.32,33.3,98.56,10.1,84,0.0,0
2543,H31956,H,299.2,308.9,1712,26.4,95,0,0,0,0,0,0,12.85,30.0,102.8,10.54,97,0.0,0
2544,L49723,L,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,13.1,25.5,104.8,10.74,104,0.0,0
2545,L49724,L,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,14.25,36.3,114.0,11.68,118,0.0,0
2546,M17405,M,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,12.72,46.8,101.76,10.43,83,0.0,0
2547,L49726,L,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,13.01,35.0,104.08,10.67,88,0.0,0
2548,L49727,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,13.29,44.3,106.32,10.9,86,0.0,0
2549,M17408,M,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,12.0,51.4,96.0,9.84,74,0.0,0
2550,L49729,L,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,13.09,63.3,104.72,10.73,78,0.0,0
2551,L49730,L,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,12.86,53.3,102.88,10.55,67,0.0,0
2552,L49731,L,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,12.84,36.5,102.72,10.53,83,0.0,0
2553,H31966,H,299.3,309.1,1552,40.7,120,0,0,0,0,0,0,13.42,60.0,107.36,11.0,84,0.0,0
2554,L49733,L,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,12.68,52.1,101.44,10.4,77,0.0,0
2555,L49734,L,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,12.85,42.5,102.8,10.54,82,0.0,0
2556,L49735,L,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,12.58,48.6,100.64,10.32,80,0.0,0
2557,M17416,M,299.3,309.1,1449,47.9,131,0,0,0,0,0,0,13.51,47.4,108.08,11.08,75,0.0,0
2558,M17417,M,299.4,309.1,1440,50.0,134,0,0,0,0,0,0,13.72,63.5,109.76,11.25,74,0.0,0
2559,M17418,M,299.2,309.0,1881,23.9,137,0,0,0,0,0,0,13.99,29.2,111.92,11.47,112,0.0,0
2560,L49739,L,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,13.84,68.6,110.72,11.35,74,0.0,0
2561,M17420,M,299.4,309.1,1326,62.0,142,0,0,0,0,0,0,14.37,74.9,114.96,11.78,64,0.0,0
2562,L49741,L,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,12.67,38.8,101.36,10.39,88,0.0,0
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,13.19,43.9,105.52,10.82,83,0.0,0
2564,L49743,L,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,12.45,47.2,99.6,10.21,79,0.0,0
2565,L49744,L,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,12.54,42.5,100.32,10.28,78,0.0,0
2566,L49745,L,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,12.6,62.1,100.8,10.33,62,0.0,0
2567,M17426,M,299.3,309.0,1420,41.6,155,0,0,0,0,0,0,12.39,46.9,99.12,10.16,72,0.0,0
2568,L49747,L,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,13.08,31.8,104.64,10.73,102,0.0,0
2569,L49748,L,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,12.86,58.3,102.88,10.55,75,0.0,0
2570,H31983,H,299.5,309.2,1872,22.6,162,0,0,0,0,0,0,13.73,24.7,109.84,11.26,111,0.0,0
2571,L49750,L,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,12.88,31.4,103.04,10.56,98,0.0,0
2572,M17431,M,299.5,309.2,1497,40.9,169,0,0,0,0,0,0,12.97,43.7,103.76,10.64,79,0.0,0
2573,M17432,M,299.4,309.1,1352,44.7,172,0,0,0,0,0,0,12.22,54.7,97.76,10.02,66,0.0,0
2574,L49753,L,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,13.07,51.5,104.56,10.72,79,0.0,0
2575,L49754,L,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,14.15,34.4,113.2,11.6,120,0.0,0
2576,L49755,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,13.45,56.8,107.6,11.03,72,0.0,0
2577,L49756,L,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,13.28,59.1,106.24,10.89,81,0.0,0
2578,L49757,L,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,13.63,56.8,109.04,11.18,84,0.0,0
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,12.83,60.2,102.64,10.52,69,0.0,0
2580,L49759,L,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,13.35,37.5,106.8,10.95,105,0.0,0
2581,L49760,L,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,12.95,70.4,103.6,10.62,61,0.0,0
2582,L49761,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,14.36,80.1,114.88,11.78,65,2.9,116000
2583,L49762,L,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,13.01,40.8,104.08,10.67,89,0.0,0
2584,L49763,L,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,12.98,70.7,103.84,10.64,65,0.0,0
2585,L49764,L,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,13.81,64.4,110.48,11.32,79,0.0,0
2586,M17445,M,299.0,308.7,1620,35.4,199,0,0,0,0,0,0,13.29,40.3,106.32,10.9,89,0.0,0
2587,L49766,L,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,13.58,47.0,108.64,11.14,82,0.0,0
2588,L49767,L,299.0,308.7,2248,16.8,204,0,0,0,0,0,0,16.22,16.8,129.76,13.3,144,0.0,0
2589,L49768,L,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,13.1,30.1,104.8,10.74,97,0.0,0
2590,L49769,L,299.0,308.7,2250,16.6,208,0,0,0,0,0,0,16.21,17.3,129.68,13.29,144,0.0,0
2591,L49770,L,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,13.14,67.7,105.12,10.77,70,0.0,0
2592,L49771,L,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,13.94,56.2,111.52,11.43,81,0.0,0
2593,L49772,L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,13.95,56.9,111.6,11.44,82,0.0,0
2594,H32007,H,298.9,308.5,1415,54.0,6,0,0,0,0,0,0,14.05,69.2,112.4,11.52,72,0.0,0
2595,L49774,L,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,11.99,49.8,95.92,9.83,74,0.0,0
2596,M17455,M,298.8,308.6,1486,41.1,13,0,0,0,0,0,0,12.9,40.0,103.2,10.58,78,0.0,0
2597,L49776,L,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,12.03,44.8,96.24,9.86,73,0.0,0
2598,L49777,L,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,12.27,49.3,98.16,10.06,75,0.0,0
2599,L49778,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,15.08,93.5,120.64,12.37,63,2.3,92000
2600,M17459,M,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,12.35,46.7,98.8,10.13,74,0.0,0
2601,L49780,L,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,13.19,50.4,105.52,10.82,72,0.0,0
2602,L49781,L,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,13.65,69.4,109.2,11.19,70,0.0,0
2603,L49782,L,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,12.44,48.6,99.52,10.2,73,0.0,0
2604,M17463,M,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,12.29,52.4,98.32,10.08,64,0.0,0
2605,M17464,M,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,12.64,54.3,101.12,10.36,69,0.0,0
2606,L49785,L,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,12.97,45.2,103.76,10.64,84,0.0,0
2607,H32020,H,299.4,309.3,1534,37.5,39,0,0,0,0,0,0,12.82,43.3,102.56,10.51,82,0.0,0
2608,L49787,L,299.4,309.3,1448,48.6,44,0,0,0,0,0,0,13.6,50.5,108.8,11.15,74,0.0,0
2609,L49788,L,299.5,309.3,1409,44.7,46,0,0,0,0,0,0,12.72,60.7,101.76,10.43,71,0.0,0
2610,L49789,L,299.4,309.2,1621,34.5,48,0,0,0,0,0,0,13.17,48.5,105.36,10.8,90,0.0,0
2611,H32024,H,299.4,309.1,1547,40.9,50,0,0,0,0,0,0,13.41,54.2,107.28,11.0,83,0.0,0
2612,L49791,L,299.4,309.1,1957,22.1,55,0,0,0,0,0,0,14.4,19.4,115.2,11.81,119,0.0,0
2613,L49792,L,299.4,309.1,2421,14.2,57,0,0,0,0,0,0,17.37,13.3,138.96,14.24,159,0.0,0
2614,M17473,M,299.3,309.1,1571,38.3,59,0,0,0,0,0,0,13.26,47.4,106.08,10.87,85,0.0,0
2615,L49794,L,299.3,309.1,1634,36.8,62,0,0,0,0,0,0,13.6,48.3,108.8,11.15,91,0.0,0
2616,L49795,L,299.3,309.0,1516,38.7,64,0,0,0,0,0,0,12.83,51.3,102.64,10.52,80,0.0,0
2617,L49796,L,299.4,309.1,1207,66.5,66,0,0,0,0,0,0,13.95,82.5,111.6,11.44,53,0.0,0
2618,L49797,L,299.4,309.1,1670,35.9,68,0,0,0,0,0,0,13.79,44.5,110.32,11.31,94,0.0,0
2619,M17478,M,299.4,309.1,1461,48.6,70,0,0,0,0,0,0,13.71,63.8,109.68,11.24,76,0.0,0
2620,L49799,L,299.4,309.2,1569,40.8,73,0,0,0,0,0,0,13.58,58.1,108.64,11.14,85,0.0,0
2621,L49800,L,299.4,309.2,1556,35.7,75,0,0,0,0,0,0,12.77,47.3,102.16,10.47,84,0.0,0
2622,M17481,M,299.5,309.3,1506,41.5,77,0,0,0,0,0,0,13.13,55.7,105.04,10.77,80,0.0,0
2623,M17482,M,299.6,309.4,1642,30.3,80,0,0,0,0,0,0,12.78,36.8,102.24,10.48,91,0.0,0
2624,M17483,M,299.6,309.4,1283,62.1,83,0,0,0,0,0,0,14.01,87.1,112.08,11.49,60,0.0,0
2625,H32038,H,299.7,309.5,1375,46.8,86,0,0,0,0,0,0,12.71,61.1,101.68,10.42,68,0.0,0
2626,L49805,L,299.7,309.4,1399,39.9,91,0,0,0,0,0,0,11.98,45.3,95.84,9.82,70,0.0,0
2627,L49806,L,299.7,309.4,1650,29.8,93,0,0,0,0,0,0,12.78,42.7,102.24,10.48,92,0.0,0
2628,M17487,M,299.8,309.6,1346,53.2,95,0,0,0,0,0,0,13.34,71.3,106.72,10.94,66,0.0,0
2629,H32042,H,299.9,309.6,1410,51.2,98,0,0,0,0,0,0,13.62,62.9,108.96,11.17,71,0.0,0
2630,L49809,L,300.0,309.7,1586,37.8,103,0,0,0,0,0,0,13.32,44.3,106.56,10.92,86,0.0,0
2631,L49810,L,300.0,309.8,1372,39.6,105,0,0,0,0,0,0,11.7,50.7,93.6,9.59,68,0.0,0
2632,H32045,H,300.0,309.7,1529,42.4,107,0,0,0,0,0,0,13.45,55.3,107.6,11.03,82,0.0,0
2633,M17492,M,300.0,309.7,1652,28.6,112,0,0,0,0,0,0,12.63,35.1,101.04,10.36,92,0.0,0
2634,L49813,L,300.1,309.8,1532,39.8,115,0,0,0,0,0,0,13.12,51.0,104.96,10.76,82,0.0,0
2635,L49814,L,300.0,309.7,1554,32.0,117,0,0,0,0,0,0,12.24,47.2,97.92,10.04,84,0.0,0
2636,H32049,H,299.9,309.6,1462,51.0,119,0,0,0,0,0,0,14.05,70.2,112.4,11.52,76,0.0,0
2637,L49816,L,299.9,309.6,1254,61.3,124,0,0,0,0,0,0,13.65,79.9,109.2,11.19,58,0.0,0
2638,L49817,L,299.9,309.6,1294,49.7,126,0,0,0,0,0,0,12.41,67.8,99.28,10.18,61,0.0,0
2639,L49818,L,299.8,309.5,1739,27.5,128,0,0,0,0,0,0,13.24,27.4,105.92,10.86,100,0.0,0
2640,M17499,M,299.8,309.4,1412,47.8,130,0,0,0,0,0,0,13.17,62.4,105.36,10.8,71,0.0,0
2641,M17500,M,299.9,309.5,1372,56.2,133,0,0,0,0,0,0,13.98,81.0,111.84,11.46,68,0.0,0
2642,H32055,H,299.8,309.5,1420,46.7,136,0,0,0,0,0,0,13.09,57.8,104.72,10.73,72,0.0,0
2643,L49822,L,299.8,309.5,1542,40.3,141,0,0,0,0,0,0,13.28,45.9,106.24,10.89,83,0.0,0
2644,M17503,M,299.8,309.4,1401,48.1,143,0,0,0,0,0,0,13.12,57.6,104.96,10.76,70,0.0,0
2645,L49824,L,299.8,309.4,1510,42.5,146,0,0,0,0,0,0,13.3,47.7,106.4,10.91,80,0.0,0
2646,H32059,H,299.9,309.5,1547,38.5,148,0,0,0,0,0,0,13.08,43.7,104.64,10.73,83,0.0,0
2647,M17506,M,299.8,309.5,1453,43.2,153,0,0,0,0,0,0,12.9,52.3,103.2,10.58,75,0.0,0
2648,L49827,L,299.8,309.4,1408,45.6,156,0,0,0,0,0,0,12.84,50.4,102.72,10.53,71,0.0,0
2649,L49828,L,299.8,309.4,1436,51.6,158,0,0,0,0,0,0,13.91,65.7,111.28,11.41,73,0.0,0
2650,M17509,M,299.9,309.5,1582,38.2,160,0,0,0,0,0,0,13.34,51.8,106.72,10.94,86,0.0,0
2651,L49830,L,299.9,309.6,1280,59.3,163,0,0,0,0,0,0,13.6,71.7,108.8,11.15,60,0.0,0
2652,L49831,L,299.9,309.5,2008,20.4,165,0,0,0,0,0,0,14.61,30.4,116.88,11.98,123,0.0,0
2653,L49832,L,299.9,309.5,1772,23.5,167,0,0,0,0,0,0,12.98,29.6,103.84,10.64,103,0.0,0
2654,L49833,L,299.9,309.5,1779,26.1,169,0,0,0,0,0,0,13.4,35.8,107.2,10.99,103,0.0,0
2655,L49834,L,299.9,309.5,1567,35.5,171,0,0,0,0,0,0,12.84,40.3,102.72,10.53,85,0.0,0
2656,M17515,M,299.8,309.4,1751,27.0,173,0,0,0,0,0,0,13.28,36.1,106.24,10.89,101,0.0,0
2657,L49836,L,299.9,309.5,1349,51.3,176,0,0,0,0,0,0,13.11,59.8,104.88,10.75,66,0.0,0
2658,M17517,M,300.0,309.5,1425,40.8,178,0,0,0,0,0,0,12.33,55.3,98.64,10.11,72,0.0,0
2659,L49838,L,300.0,309.4,1395,44.5,181,0,0,0,0,0,0,12.57,56.8,100.56,10.31,70,0.0,0
2660,H32073,H,299.8,309.3,1595,32.1,183,0,0,0,0,0,0,12.62,41.6,100.96,10.35,87,0.0,0
2661,L49840,L,299.8,309.3,1291,56.4,188,0,0,0,0,0,0,13.3,66.4,106.4,10.91,61,0.0,0
2662,M17521,M,299.9,309.4,1509,42.8,190,0,0,0,0,0,0,13.33,49.1,106.64,10.93,80,0.0,0
2663,M17522,M,299.9,309.4,1483,38.1,193,0,0,0,0,0,0,12.46,50.1,99.68,10.22,78,0.0,0
2664,L49843,L,299.9,309.3,1620,31.1,196,0,0,0,0,0,0,12.7,32.8,101.6,10.41,89,0.0,0
2665,M17524,M,299.9,309.4,1487,42.2,198,0,0,0,0,0,0,13.06,55.1,104.48,10.71,78,0.0,0
2666,L49845,L,299.8,309.4,2256,15.9,201,0,0,0,0,0,0,16.16,9.8,129.28,13.25,145,0.0,0
2667,H32080,H,299.7,309.2,1691,27.7,203,0,0,0,0,0,0,12.85,37.1,102.8,10.54,96,0.0,0
2668,M17527,M,299.8,309.3,1663,35.2,208,0,0,0,0,0,0,13.64,37.0,109.12,11.18,93,0.0,0
2669,M17528,M,299.8,309.3,1640,31.1,211,0,0,0,0,0,0,12.87,40.3,102.96,10.55,91,0.0,0
2670,H32083,H,299.7,309.3,1494,37.8,214,0,0,0,0,0,0,12.52,49.8,100.16,10.27,78,0.0,0
2671,L49850,L,299.8,309.4,1467,46.2,219,0,0,0,0,0,0,13.43,54.8,107.44,11.01,76,0.0,0
2672,M17531,M,299.7,309.3,1399,41.9,221,1,1,0,0,0,0,12.25,55.2,98.0,10.04,70,1.5,60000
2673,L49852,L,299.7,309.3,1445,42.6,0,0,0,0,0,0,0,12.75,54.6,102.0,10.46,74,0.0,0
2674,L49853,L,299.8,309.4,1480,40.9,2,0,0,0,0,0,0,12.82,48.3,102.56,10.51,77,0.0,0
2675,L49854,L,299.7,309.3,1546,37.2,4,0,0,0,0,0,0,12.89,40.8,103.12,10.57,83,0.0,0
2676,L49855,L,299.7,309.3,1574,35.8,6,0,0,0,0,0,0,12.94,34.1,103.52,10.61,85,0.0,0
2677,L49856,L,299.7,309.3,1592,34.2,8,0,0,0,0,0,0,12.88,43.5,103.04,10.56,87,0.0,0
2678,L49857,L,299.8,309.5,1495,39.6,10,0,0,0,0,0,0,12.77,41.4,102.16,10.47,79,0.0,0
2679,L49858,L,299.8,309.6,1447,43.1,12,0,0,0,0,0,0,12.83,54.5,102.64,10.52,74,0.0,0
2680,L49859,L,299.8,309.5,1476,44.4,14,0,0,0,0,0,0,13.27,54.5,106.16,10.88,77,0.0,0
2681,L49860,L,299.8,309.5,1641,27.1,16,0,0,0,0,0,0,12.33,35.4,98.64,10.11,91,0.0,0
2682,L49861,L,299.8,309.5,1545,32.2,18,0,0,0,0,0,0,12.19,37.5,97.52,10.0,83,0.0,0
2683,M17542,M,299.9,309.6,1364,44.4,20,0,0,0,0,0,0,12.29,54.1,98.32,10.08,67,0.0,0
2684,L49863,L,299.8,309.5,1590,28.5,23,0,0,0,0,0,0,12.08,37.6,96.64,9.91,87,0.0,0
2685,L49864,L,299.8,309.4,1460,37.4,25,0,0,0,0,0,0,12.16,47.8,97.28,9.97,75,0.0,0
2686,L49865,L,299.8,309.4,1609,32.5,27,0,0,0,0,0,0,12.79,41.0,102.32,10.49,89,0.0,0
2687,L49866,L,299.8,309.4,1633,27.5,29,0,0,0,0,0,0,12.32,34.9,98.56,10.1,91,0.0,0
2688,L49867,L,299.9,309.4,1348,52.8,31,0,0,0,0,0,0,13.3,59.6,106.4,10.91,66,0.0,0
2689,L49868,L,299.9,309.4,1322,53.9,33,0,0,0,0,0,0,13.23,72.6,105.84,10.85,63,0.0,0
2690,L49869,L,300.0,309.5,1641,30.1,35,0,0,0,0,0,0,12.74,39.2,101.92,10.45,91,0.0,0
2691,L49870,L,300.0,309.5,1728,26.0,37,0,0,0,0,0,0,12.94,25.4,103.52,10.61,99,0.0,0
2692,L49871,L,300.0,309.6,1431,47.7,39,0,0,0,0,0,0,13.33,59.1,106.64,10.93,73,0.0,0
2693,L49872,L,300.1,309.7,1641,30.4,41,0,0,0,0,0,0,12.78,36.3,102.24,10.48,91,0.0,0
2694,M17553,M,300.1,309.6,1622,36.1,43,0,0,0,0,0,0,13.4,43.7,107.2,10.99,90,0.0,0
2695,M17554,M,300.1,309.6,1625,38.0,46,0,0,0,0,0,0,13.69,48.6,109.52,11.23,90,0.0,0
2696,L49875,L,300.0,309.5,1869,22.7,49,0,0,0,0,0,0,13.72,33.1,109.76,11.25,111,0.0,0
2697,L49876,L,300.0,309.6,1452,46.0,51,0,0,0,0,0,0,13.28,63.4,106.24,10.89,75,0.0,0
2698,L49877,L,300.0,309.6,1618,28.7,53,0,0,0,0,0,0,12.35,27.6,98.8,10.13,89,0.0,0
2699,L49878,L,300.0,309.4,2010,20.0,55,0,0,0,0,0,0,14.58,25.4,116.64,11.96,124,0.0,0
2700,L49879,L,299.9,309.4,1363,60.9,57,0,0,0,0,0,0,14.55,85.1,116.4,11.93,67,0.0,0
2701,L49880,L,299.9,309.3,1473,40.4,59,0,0,0,0,0,0,12.69,52.2,101.52,10.41,77,0.0,0
2702,L49881,L,299.9,309.2,1333,50.8,61,0,0,0,0,0,0,12.9,70.0,103.2,10.58,64,0.0,0
2703,L49882,L,299.8,309.2,1760,25.9,63,0,0,0,0,0,0,13.2,40.4,105.6,10.82,102,0.0,0
2704,M17563,M,299.8,309.2,1372,58.2,65,0,0,0,0,0,0,14.25,79.8,114.0,11.68,68,0.0,0
2705,M17564,M,299.7,309.2,1608,34.4,68,0,0,0,0,0,0,13.04,43.3,104.32,10.69,88,0.0,0
2706,L49885,L,299.7,309.2,1326,64.8,71,0,0,0,0,0,0,14.76,89.0,118.08,12.1,64,0.0,0
2707,M17566,M,299.6,309.1,1560,37.1,73,0,0,0,0,0,0,13.0,46.5,104.0,10.66,84,0.0,0
2708,M17567,M,299.6,309.0,1539,36.1,76,0,0,0,0,0,0,12.68,44.5,101.44,10.4,82,0.0,0
2709,L49888,L,299.6,309.1,2266,15.3,79,0,0,0,0,0,0,16.17,14.0,129.36,13.26,146,0.0,0
2710,L49889,L,299.6,309.1,1641,35.8,81,0,0,0,0,0,0,13.53,51.8,108.24,11.09,91,0.0,0
2711,L49890,L,299.6,309.1,1574,39.2,83,0,0,0,0,0,0,13.41,44.5,107.28,11.0,85,0.0,0
2712,L49891,L,299.6,309.1,1407,50.6,85,0,0,0,0,0,0,13.52,71.9,108.16,11.09,71,0.0,0
2713,H32126,H,299.7,309.2,1302,55.5,87,0,0,0,0,0,0,13.27,73.5,106.16,10.88,62,0.0,0
2714,M17573,M,299.6,309.2,1651,30.8,92,0,0,0,0,0,0,12.93,30.1,103.44,10.6,92,0.0,0
2715,M17574,M,299.6,309.1,1366,55.2,95,0,0,0,0,0,0,13.79,72.4,110.32,11.31,67,0.0,0
2716,M17575,M,299.5,309.0,1701,28.6,98,0,0,0,0,0,0,13.06,23.6,104.48,10.71,97,0.0,0
2717,L49896,L,299.5,309.0,1498,44.6,101,0,0,0,0,0,0,13.49,59.2,107.92,11.06,79,0.0,0
2718,M17577,M,299.5,309.1,1422,45.3,103,0,0,0,0,0,0,12.92,61.4,103.36,10.59,72,0.0,0
2719,L49898,L,299.5,309.1,1357,47.3,106,0,0,0,0,0,0,12.63,56.8,101.04,10.36,67,0.0,0
2720,L49899,L,299.5,309.2,1690,29.2,108,0,0,0,0,0,0,13.05,35.5,104.4,10.7,96,0.0,0
2721,L49900,L,299.6,309.2,1559,39.1,110,0,0,0,0,0,0,13.26,58.3,106.08,10.87,84,0.0,0
2722,M17581,M,299.6,309.3,1553,32.4,112,0,0,0,0,0,0,12.29,36.8,98.32,10.08,84,0.0,0
2723,L49902,L,299.6,309.3,1558,34.8,115,0,0,0,0,0,0,12.66,37.3,101.28,10.38,84,0.0,0
2724,L49903,L,299.7,309.4,1362,51.9,117,0,0,0,0,0,0,13.3,73.5,106.4,10.91,67,0.0,0
2725,M17584,M,299.8,309.3,1470,42.7,119,0,0,0,0,0,0,12.98,63.2,103.84,10.64,76,0.0,0
2726,L49905,L,299.8,309.4,1555,34.8,122,0,0,0,0,0,0,12.64,42.6,101.12,10.36,84,0.0,0
2727,M17586,M,299.8,309.4,1423,42.9,124,0,0,0,0,0,0,12.6,58.8,100.8,10.33,72,0.0,0
2728,L49907,L,299.7,309.3,1434,38.5,127,0,0,0,0,0,0,12.09,54.4,96.72,9.91,73,0.0,0
2729,L49908,L,299.7,309.3,1779,25.5,129,0,0,0,0,0,0,13.32,26.1,106.56,10.92,103,0.0,0
2730,L49909,L,299.7,309.3,1417,54.6,131,0,0,0,0,0,0,14.15,67.4,113.2,11.6,72,0.0,0
2731,L49910,L,299.6,309.2,1425,45.9,133,0,0,0,0,0,0,13.03,64.0,104.24,10.68,72,0.0,0
2732,M17591,M,299.7,309.2,1597,32.9,135,0,0,0,0,0,0,12.74,48.4,101.92,10.45,87,0.0,0
2733,L49912,L,299.7,309.2,1346,57.4,138,0,0,0,0,0,0,13.92,76.4,111.36,11.41,66,0.0,0
2734,L49913,L,299.7,309.2,1422,40.4,140,0,0,0,0,0,0,12.25,45.9,98.0,10.04,72,0.0,0
2735,H32148,H,299.7,309.2,1572,32.8,142,0,0,0,0,0,0,12.51,49.8,100.08,10.26,85,0.0,0
2736,L49915,L,299.7,309.2,1412,45.4,147,0,0,0,0,0,0,12.84,54.5,102.72,10.53,71,0.0,0
2737,M17596,M,299.7,309.1,1576,36.4,149,0,0,0,0,0,0,13.04,43.1,104.32,10.69,86,0.0,0
2738,M17597,M,299.7,309.1,1508,41.2,152,0,0,0,0,0,0,13.11,53.1,104.88,10.75,80,0.0,0
2739,M17598,M,299.8,309.1,1496,44.4,155,0,0,0,0,0,0,13.44,63.5,107.52,11.02,79,0.0,0
2740,L49919,L,299.8,309.2,1572,35.4,158,0,0,0,0,0,0,12.87,47.7,102.96,10.55,85,0.0,0
2741,L49920,L,299.6,309.0,1525,42.8,160,0,0,0,0,0,0,13.47,55.6,107.76,11.05,81,0.0,0
2742,L49921,L,299.6,309.0,1378,51.9,162,0,0,0,0,0,0,13.44,68.4,107.52,11.02,68,0.0,0
